id,neighbourhood,room_type,availability_365,log_price,log_minimum_nights,log_number_of_reviews,log_reviews_per_month
579851,Westerpark,Private room,101,5.003946306,0.693147181,5.966146739,1.583093937
580978,De Baarsjes - Oud-West,Entire home/apt,0,4.574710979,1.945910149,1.791759469,-2.407945609
581342,De Pijp - Rivierenbuurt,Entire home/apt,0,5.521460918,0,4.317488114,-0.061875404
581869,De Pijp - Rivierenbuurt,Entire home/apt,3,4.941642423,0.693147181,2.708050201,-1.714798428
582028,Slotervaart,Entire home/apt,93,4.442651256,2.079441542,2.302585093,-1.897119985
582030,Bos en Lommer,Entire home/apt,279,4.9698133,1.098612289,2.995732274,-1.427116356
582121,Centrum-West,Entire home/apt,0,4.787491743,1.098612289,4.077537444,-0.235722334
582135,Oud-Noord,Entire home/apt,0,4.605170186,1.386294361,2.302585093,-0.84397007
582280,Geuzenveld - Slotermeer,Private room,0,3.465735903,0,5.484796933,1.153731588
582382,Oud-Noord,Entire home/apt,0,5.010635294,1.386294361,2.833213344,-1.560647748
582435,Westerpark,Entire home/apt,0,5.703782475,1.098612289,3.218875825,-1.171182982
584258,Zuid,Entire home/apt,6,4.934473933,1.098612289,2.079441542,-1.832581464
584938,Centrum-Oost,Entire home/apt,0,5.438079309,0.693147181,0,-2.995732274
584995,Westerpark,Entire home/apt,214,5.010635294,1.098612289,1.386294361,-2.995732274
588020,Centrum-Oost,Entire home/apt,0,5.886104031,1.098612289,4.795790546,0.854415328
588116,Oud-Oost,Entire home/apt,0,4.49980967,1.386294361,3.610917913,-0.634878272
588288,Centrum-West,Entire home/apt,48,5.598421959,1.945910149,3.871201011,-0.248461359
589194,Oud-Oost,Entire home/apt,66,4.442651256,1.609437912,3.218875825,-1.171182982
589237,Zuid,Entire home/apt,0,4.770684624,1.609437912,2.833213344,-1.560647748
